shot_number,start_time_seconds,end_time_seconds,start_frame,end_frame,duration_seconds,metadata_ShotDescription,metadata_GenreCues,metadata_SubgenreCues,metadata_AdjectiveTheme,metadata_Mood,metadata_SettingContext,metadata_ContentDescriptors,metadata_LocationHints_Regional,metadata_LocationHints_International,metadata_SearchKeywords
1,0.0,1.7333333333333334,0,52,1.7333333333333334,A young woman in a black dress stands in front of a funeral home.,"[{""genre_hint"": ""drama"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""funeral"", ""prominence_in_shot"": 1}]","""sad""","""tragic""","""funeral home""","""funeral service""","""funeral home""","""funeral home""","""funeral, funeral home"""
2,1.7333333333333334,3.2,52,96,1.4666666666666668,A group of people in formal attire standing outside a funeral home.,"[{""genre_hint"": ""drama"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""funeral"", ""prominence_in_shot"": 1}]","""formal""","""serious""","""funeral""","""funeral service""","""funeral""","""funeral""","""funeral, funeral service, formal attire, serious mood, formal theme"""
3,3.2,5.166666666666667,96,155,1.9666666666666668,A young girl in a black dress standing in front of a funeral home.,"[{""genre_hint"": ""drama"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""coming-of-age"", ""prominence_in_shot"": 1}]","""emotional""","""sad""","""funeral""","""funeral""","""funeral""","""funeral""","""funeral"""
4,5.166666666666667,6.933333333333334,155,208,1.7666666666666666,A young animated character in a black dress is being comforted by an older man in a suit.,"[{""genre_hint"": ""drama"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""romance"", ""prominence_in_shot"": ""high""}]","""emotional""","""touching""","""formal""","""interpersonal""","""formal""","""formal""","""emotional comfort"""
5,6.933333333333334,21.1,208,633,14.166666666666668,A young woman in a black suit stands in a grand hallway with large windows and wooden paneling.,"[{""genre_hint"": ""drama"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""romance"", ""prominence_in_shot"": 1}]","""formal""","""serious""","""a formal event or gathering""","""a young woman in a black suit""","""a formal event or gathering""","""a formal event or gathering""","""formal event, young woman, black suit"""
6,21.1,24.5,633,735,3.3999999999999986,A dimly lit hallway with a framed picture of a group of people on the left wall.,"[{""genre_hint"": ""Comedy"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Slapstick"", ""prominence_in_shot"": ""100%""}]","""dark and mysterious""","""intriguing""","""a private room""","""a man in a suit""","""New York City""","""New York City""","""comedy, slapstick, dark, mysterious, private room, man in suit"""
7,24.5,26.1,735,783,1.6000000000000014,"Two characters in a church setting, one older and one younger, both dressed in black, with a blurred background of other people in the church.","[{""genre_hint"": ""drama"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""religious"", ""prominence_in_shot"": ""high""}]","""serious""","""serious""","""church""","""religious""","""church""","""church""","""church, serious, religious"""
8,26.1,31.533333333333335,783,946,5.433333333333334,"Two characters in black attire are seated in a church, facing forward.","[{""genre_hint"": ""drama"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""religious"", ""prominence_in_shot"": ""high""}]","""serious""","""serious""","""church""","""religious ceremony""","""church""","""church""","""church, ceremony, serious"""
9,31.533333333333335,39.86666666666667,946,1196,8.333333333333332,"A young woman sits in a dimly lit church, her eyes downcast in sorrow.","[{""genre_hint"": ""Tragedy"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Grief"", ""prominence_in_shot"": 1}]","""Sorrowful""","""Sorrowful""","""Church""","""Funeral""","""Church""","""Church""","""Funeral, Church"""
10,39.86666666666667,45.1,1196,1353,5.233333333333334,"A young woman in a black coat and black tights is standing outside a house at night, holding a key in her hand.","[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": 0.2}]","""Mysterious""","""Intriguing""","""Urban""","""A woman standing outside a house at night""","""Urban""","""International""","""Mysterious woman key house"""
11,45.1,49.666666666666664,1353,1490,4.566666666666663,A woman with short black hair standing in a dimly lit hallway with framed pictures on the walls.,"[{""genre_hint"": ""drama"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""thriller"", ""prominence_in_shot"": 1}]","""intriguing""","""intense""","""a mysterious and suspenseful atmosphere""","""a woman in a dark room with a sense of foreboding""","""a classic American style of architecture""","""a European-style hallway with dark wood floors""","""a woman in a dark room with a sense of foreboding"""
12,49.666666666666664,55.13333333333333,1490,1654,5.466666666666669,A young girl and an adult woman are sitting on the floor in a cozy living room. The girl is holding a small toy and the woman is smiling at her.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Childhood"", ""prominence_in_shot"": 1}]","""warm""","""happy""","""home""","""family""","""home""","""home""","""family, home, childhood, happy, warm"""
13,55.13333333333333,55.9,1654,1677,0.7666666666666657,,"[{""genre_hint"": ""drama"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""thriller"", ""prominence_in_shot"": 0.3}]","[{""adjective_hint"": ""intense"", ""prominence_in_shot"": 0.2}]","[{""mood_hint"": ""suspenseful"", ""prominence_in_shot"": 0.1}]","[{""setting_hint"": ""dark"", ""prominence_in_shot"": 0.4}]","[{""content_hint"": ""mysterious"", ""prominence_in_shot"": 0.3}]","[{""location_hint"": ""urban"", ""prominence_in_shot"": 0.2}]","[{""location_hint"": ""worldwide"", ""prominence_in_shot"": 0.1}]","[{""keyword"": ""mystery"", ""prominence_in_shot"": 0.5}]"
