shot_number,start_time_seconds,end_time_seconds,start_frame,end_frame,duration_seconds,metadata_ShotDescription,metadata_GenreCues,metadata_SubgenreCues,metadata_AdjectiveTheme,metadata_Mood,metadata_SettingContext,metadata_ContentDescriptors,metadata_LocationHints_Regional,metadata_LocationHints_International,metadata_SearchKeywords
1,0.0,3.002550127506375,0,72,3.002550127506375,,"[{""genre_hint"": ""action"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""thriller"", ""prominence_in_shot"": 0.3}]","[{""adjective_hint"": ""dark"", ""prominence_in_shot"": 0.2}]","[{""mood_hint"": ""intense"", ""prominence_in_shot"": 0.1}]","[{""setting_hint"": ""urban"", ""prominence_in_shot"": 0.4}]","[{""content_hint"": ""violence"", ""prominence_in_shot"": 0.1}]","[{""location_hint"": ""New York"", ""prominence_in_shot"": 0.2}]","[{""location_hint"": ""London"", ""prominence_in_shot"": 0.1}]","[{""search_keyword"": ""Sony Pictures Animation""}]"
2,3.002550127506375,20.100405020251014,72,482,17.09785489274464,A room with a blue wall and a calendar featuring a unicorn.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Children's"", ""prominence_in_shot"": ""1""}]","""colorful""","""happy""","""home""","""personal""","""unicorn""","""family""","""hair love"""
3,20.100405020251014,25.146357317865892,482,603,5.045952297614878,"A close-up of a character wearing a pink polka-dotted headscarf and a pink dress, lying in bed with a pink blanket covering them.","[{""genre_hint"": ""Fantasy"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Childhood"", ""prominence_in_shot"": ""1""}]","""Childhood""","""Happy""","""Bedroom""","""Child""","""None""","""None""","""Childhood, Bedroom, Happiness"""
4,25.146357317865892,26.39741987099355,603,633,1.2510625531276567,"A close-up of a grey cat with green eyes and a pink nose, looking angry and determined, with a wooden door in the background.","[{""genre_hint"": ""Feline"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Feline"", ""prominence_in_shot"": ""100%""}]","""Feline""","""Angry""","""Interior""","""Cat""","""None""","""None""","""Cat, Feline, Angry, Interior"""
5,26.39741987099355,33.319965998299914,633,799,6.922546127306365,"A young girl in a pink nightgown with a polka dot headband is sitting on a bed with a gray cat. The girl is smiling and talking to the cat, who is looking at her with a neutral expression.","[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Children's"", ""prominence_in_shot"": ""1""}]","""happy""","""calm""","""home""","""family""","""home""","""home""","""family, home, happy, calm"""
6,33.319965998299914,34.02890144507225,799,816,0.7089354467723368,"A close-up of a character with a pink polka-dotted headband and a gray cat-like face, looking at a calendar with a purple unicorn illustration on it.","[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": ""1""}]","""colorful""","""happy""","""interior""","""personal""","""none""","""none""","""unicorn, calendar, cat"""
7,34.02890144507225,35.94719735986799,816,862,1.918295914795742,A close-up of a calendar with a heart drawn on the 14th day of March.,"[{""genre_hint"": ""Romance"", ""prominence_in_shot"": ""High""}]","[{""subgenre_hint"": ""Romantic"", ""prominence_in_shot"": ""High""}]","""Romantic""","""Romantic""","""Home""","""Personal""","""Home""","""Personal""","""Romantic"""
8,35.94719735986799,38.532726636331816,862,924,2.5855292764638236,A young girl with pink hair and a pink headband is sitting on a bed in a room with a window. She is holding a gray cat and looking at it with a sad expression. The room is decorated with a green plant and a lamp on the nightstand. The girl is wearing a pink dress.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Children's"", ""prominence_in_shot"": ""1""}]","""family""","""sad""","""home""","""family""","""home""","""home""","""family, sad, home"""
9,38.532726636331816,39.03315165758288,924,936,0.5004250212510613,A pink dress with sparkles hanging on a rack in a room with a geometric wall design.,"[{""genre_hint"": ""dress"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""dress"", ""prominence_in_shot"": ""high""}]","""dress""","""happy""","""dress""","""dress""","""dress""","""dress""","""dress"""
10,39.03315165758288,39.658682934146704,936,951,0.6255312765638266,A young girl in a pink dress is hanging a white dress with pink polka dots on a clothesline in a room with a geometric wall design.,"[{""genre_hint"": ""Fantasy"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": ""1""}]","""Fantasy""","""Happy""","""Home""","""Childhood""","""Home""","""Home""","""Fantasy, child, home"""
11,39.658682934146704,40.49272463623181,951,971,0.8340417020851092,A person is hanging a white shirt on a clothesline in a room with a pink wall and a window in the background.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Home"", ""prominence_in_shot"": ""1""}]","[{""adjective"": ""clean"", ""prominence_in_shot"": ""1""}]","[{""mood"": ""relaxed"", ""prominence_in_shot"": ""1""}]","[{""setting"": ""home"", ""prominence_in_shot"": ""1""}]","[{""descriptor"": ""washing clothes"", ""prominence_in_shot"": ""1""}]","[{""hint"": ""home"", ""prominence_in_shot"": ""1""}]","[{""hint"": ""home"", ""prominence_in_shot"": ""1""}]","[{""keyword"": ""washing clothes"", ""prominence_in_shot"": ""1""}]"
12,40.49272463623181,41.493574678733935,971,995,1.0008500425021225,"A close-up of a small, round, golden object on a wooden surface.","[{""genre_hint"": ""Fantasy"", ""prominence_in_shot"": ""High""}]","[{""subgenre_hint"": ""Mythology"", ""prominence_in_shot"": ""High""}]","""Mythological""","""Mystical""","""Mythological""","""Mythological""","""Mythological""","""Mythological""","""Mythological"""
13,41.493574678733935,42.57782889144457,995,1021,1.0842542127106327,A character is tying their shoes on a colorful rug.,"[{""genre_hint"": ""Action"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Sports"", ""prominence_in_shot"": ""50%""}]","""dynamic""","""energetic""","""indoor""","""footwear""","""indoor""","""indoor""","""shoes"""
14,42.57782889144457,44.16250812540627,1021,1059,1.584679233961701,A close-up of a vanity table with various beauty products on it.,"[{""genre_hint"": ""cosmetics"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""hair care"", ""prominence_in_shot"": ""high""}]","""cosmetic""","""relaxing""","""bathroom""","""personal grooming""","""bathroom""","""bathroom""","""cosmetics, hair care, personal grooming"""
15,44.16250812540627,50.33441672083604,1059,1207,6.17190859542977,"A young girl with curly hair and a pink polka-dotted shirt is sitting in a bathtub, looking at a black tablet with colorful stickers on it.","[{""genre_hint"": ""children's television"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""children's animation"", ""prominence_in_shot"": ""high""}]","""happy""","""amused""","""bathroom""","""bathroom setting""","""bathroom""","""bathroom""","""bathroom, cartoon, girl, tablet"""
16,50.33441672083604,54.71313565678284,1207,1312,4.3787189359468,"A young girl with curly black hair is sitting in a bathtub, holding a tablet with colorful stickers on it. A gray cat is sitting on the edge of the bathtub, looking at the girl.","[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": 0.2}]","""Adventure""","""Excited""","""Home""","""Childhood""","""Home""","""Home""","""adventure, fantasy, child, home"""
17,54.71313565678284,56.17270863543177,1312,1347,1.4595729786489287,"A young woman with curly hair is looking at a computer screen displaying a website with the title ""Hair Love"" and various images of hair styles.","[{""genre_hint"": ""hair styling"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""hair styling"", ""prominence_in_shot"": ""high""}]","""hair styling""","""curious""","""home""","""hair styling""","""home""","""home""","""hair styling"""
18,56.17270863543177,60.05100255012751,1347,1440,3.878293914695739,"A screenshot of a YouTube channel page for ""Hair Love"", featuring a black background with pink text and a profile picture of a woman with curly hair.","[{""genre_hint"": ""hair care"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""hair styling"", ""prominence_in_shot"": ""high""}]","""hair""","""positive""","""online""","""hair care tutorials""","""online""","""online""","""hair care tutorials"""
19,60.05100255012751,61.176958847942394,1440,1467,1.1259562978148878,A series of images showing a woman's hair transitioning through different styles.,"[{""genre_hint"": ""Fashion"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Fashion"", ""prominence_in_shot"": ""100%""}]","""Fashion""","""Excited""","""Fashion""","""Fashion""","""Fashion""","""Fashion""","""Fashion"""
20,61.176958847942394,63.17865893294665,1467,1515,2.001700085004252,A young girl with curly hair is sitting at a table with a cat. The girl is wearing a pink dress and has a laptop in front of her. The cat is sitting on the table and looking at the girl.,"[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": 0.2}]","""fantasy""","""happy""","""home""","""child, cat, laptop, home""","""home""","""home""","""cat, laptop, home"""
21,63.17865893294665,63.5956797839892,1515,1525,0.41702085104255104,"A young woman with black hair styled in a high ponytail and wearing a blue top, with a yellow background and a white border around the image.","[{""genre_hint"": ""Fashion"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Fashion"", ""prominence_in_shot"": ""100%""}]","""Fashion""","""Happy""","""Fashion""","""Fashion""","""Fashion""","""Fashion""","""Fashion"""
22,63.5956797839892,64.8050402520126,1525,1554,1.2093604680234051,A series of animated images depicting different hairstyles.,"[{""genre_hint"": ""hair styling"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""hairstyling"", ""prominence_in_shot"": ""high""}]","""hair""","""positive""","""abstract""","""hair styles""","""abstract""","""abstract""","""hair styling"""
23,64.8050402520126,67.80759037951897,1554,1626,3.0025501275063675,"A young girl with curly hair is sitting at a table with a cat. The girl is smiling and looking at the cat, who is looking at the girl with a neutral expression.","[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": ""100%""}]","""happy""","""happy""","""home""","""family""","""home""","""home""","""family, home, happy"""
24,67.80759037951897,68.22461123056152,1626,1636,0.41702085104255104,"A young woman with curly hair, wearing a brown top, is shown in three different frames. The first frame shows her from the front, the second frame shows her from the side, and the third frame shows her from the back.","[{""genre_hint"": ""Fashion"", ""prominence_in_shot"": ""100%""}]","[{""subgenre_hint"": ""Fashion"", ""prominence_in_shot"": ""100%""}]","""Fashion""","""Happy""","""Fashion""","""Fashion""","""Fashion""","""Fashion""","""Fashion"""
25,68.22461123056152,68.64163208160407,1636,1646,0.41702085104255104,"Two animated women with braided hair, one in a pink top and the other in a brown top, against a light blue background.","[{""genre_hint"": ""hair styling"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""hair care"", ""prominence_in_shot"": ""high""}]","""hair styling""","""positive""","""hair styling tutorial""","""hair care tips""","""hair care tips""","""hair care tips""","""hair care tips"""
26,68.64163208160407,69.30886544327217,1646,1662,0.6672333616680959,"A series of animated frames showing a woman with black hair, wearing a green top and a green necklace, with a green bottle in her hand.","[{""genre_hint"": ""hair styling"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""hair care"", ""prominence_in_shot"": ""high""}]","""hair care""","""positive""","""hair styling""","""hair styling""","""hair styling""","""hair styling""","""hair styling"""
27,69.30886544327217,73.68758437921896,1662,1767,4.378718935946793,"A young girl with curly hair is sitting at a table in a bathroom, looking at a laptop with colorful stickers on it. A gray cat is sitting next to her, looking at the laptop as well.","[{""genre_hint"": ""Adventure"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Fantasy"", ""prominence_in_shot"": 0.2}]","""fantasy""","""excited""","""bathroom""","""young girl, laptop, cat, adventure, fantasy""","""bathroom""","""bathroom""","""adventure, fantasy, young girl, laptop, cat"""
28,73.68758437921896,74.10460523026151,1767,1777,0.41702085104255104,A young woman with long black hair is blow-drying her hair in a bathroom.,"[{""genre_hint"": ""hair styling"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""hair care"", ""prominence_in_shot"": ""1""}]","""hair styling""","""relaxing""","""bathroom""","""hair care routine""","""bathroom""","""hair salon""","""hair styling, blow-drying, hair care"""
29,74.10460523026151,74.8552427621381,1777,1795,0.7506375318765919,A series of images showing a woman with different hairstyles.,"[{""genre_hint"": ""hair styling"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""hair styling"", ""prominence_in_shot"": ""high""}]","""hair""","""relaxed""","""hair styling""","""hair styling""","""hair styling""","""hair styling""","""hair styling"""
